Bullet Level,Amount Used
1,6
2,7
3,4
4,6
5,6
6,6
7,7
8,3
9,6
10,8
11,6
12,7
13,7
14,6
15,8
16,6
17,7
18,9
19,6
20,7
21,6
22,7
23,9
24,6
25,7
26,6
27,5
28,9
29,6
30,11
31,6
32,7
33,9
34,5
35,9
36,6
37,4
38,9
39,6
40,8
41,6
42,7
43,9
44,6
45,10
46,6
47,7
48,5
49,6
50,5
51,6
52,7
53,9
54,6
55,9
56,6
57,7
58,8
59,6
60,11
61,6
62,7
63,9
64,6
65,9
66,6
67,7
68,8
69,6
70,7
71,6
72,7
73,9
74,6
75,8
76,6
77,7
78,7
79,6
80,7
81,4
82,7
83,9
84,6
85,10
86,6
87,7
88,5
89,4
90,10
91,6
92,7
93,9
94,6
95,6
96,6
97,7
98,9
99,6
100,11